"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","hidden_size","learning_rate","avg_accuracy","avg_f1","avg_f2","avg_fn","avg_fp","avg_loss","avg_precision","avg_recall","avg_roc_auc","avg_specificity","avg_tn","avg_tp"
"AVG_bs(10000)_lr(0.001)_hs(98)_e(10)","finished","-","","","2025-05-21T17:53:02.000Z","2","","10000","10","98","0.001","0.999242620103498","0.9906989639480104","0.9869341672105172","228.8","43","0.007807494490407407","0.9970382100454652","0.9844402428019456","0.9996942795247548","0.9998750596389196","344121.2","14475.8"
"AVG_bs(15000)_lr(0.0001)_hs(98)_e(20)","finished","-","","","2025-05-22T12:59:27.000Z","1","","15000","20","98","0.0001","0.9839724156510076","0.7573406767458323","0.6619360363541683","5725","26.8","0.08180231445779404","0.9970327141995772","0.6106661763688411","0.9498695505441572","0.9999221301928444","344137.4","8979.6"
"AVG_bs(2000)_lr(0.0001)_hs(98)_e(10)","finished","-","","","2025-05-21T07:13:04.000Z","1","","2000","10","98","0.0001","0.9989500341053076","0.98705860886816","0.9811715212848012","334","42.8","0.01122544333545698","0.9970305953822852","0.9772860304153614","0.997571704011649","0.9998756407538468","344121.4","14370.6"
"AVG_bs(10000)_lr(0.001)_hs(98)_e(20)","finished","-","","","2025-05-21T18:24:54.000Z","1","","10000","20","98","0.001","0.9998138595479216","0.9977302450629566","0.9981698019958424","22.6","44.2","0.004228202661680472","0.9969985793472812","0.9984630726374596","0.999776763911944","0.9998715729324722","344120","14682"
"AVG_bs(15000)_lr(0.01)_hs(98)_e(30)","finished","-","","","2025-05-22T04:18:28.000Z","1","","15000","30","98","0.01","0.9997937964761878","0.9974849289632268","0.9977778997013272","29.8","44.2","0.0036249410297993258","0.996997428887484","0.9979734099606368","0.9997193044194234","0.9998715729290952","344120","14674.8"
"AVG_bs(15000)_lr(0.001)_hs(98)_e(20)","finished","-","","","2025-05-22T08:14:43.000Z","2","","15000","20","98","0.001","0.9995352061684656","0.9943129981924568","0.9927127894345228","122.8","44","0.005083026050124317","0.9969915786537298","0.9916488593776996","0.999757914317886","0.9998721540507762","344120.2","14581.8"
"AVG_bs(2000)_lr(0.0001)_hs(98)_e(30)","finished","-","","","2025-05-21T08:21:50.000Z","2","","2000","30","98","0.0001","0.9998116303175564","0.9977030452983808","0.9981344439419332","23.2","44.4","0.004010167559802842","0.996984932498574","0.9984222646394694","0.9998162113758144","0.9998709918192336","344119.8","14681.4"
"AVG_bs(2000)_lr(0.01)_hs(25)_e(30)","finished","-","","","2025-05-20T08:44:05.000Z","2","","2000","30","25","0.01","0.9997302634814396","0.9967068712285108","0.996552586528286","52.2","44.6","0.0037255919311105063","0.9969654495681568","0.9964500889639883","0.9997035164932202","0.999870410705995","344119.6","14652.4"
"AVG_bs(20000)_lr(0.001)_hs(98)_e(30)","finished","-","","","2025-05-22T23:37:11.000Z","2","","20000","30","98","0.001","0.9996249325543924","0.9954159042876408","0.9945015793528412","89.8","44.8","0.004720689876315494","0.996944038316037","0.993893090223063","0.9997600951241866","0.9998698295792484","344119.4","14614.8"
"AVG_bs(10000)_lr(0.001)_hs(25)_e(20)","finished","-","","","2025-05-21T15:00:18.000Z","2","","10000","20","25","0.001","0.9994254167294409","0.9929605639994656","0.990594755577223","161.4","44.8","0.006264491947109087","0.9969288655208972","0.9890238214075218","0.9997593892471616","0.999869829584314","344119.4","14543.2"
"AVG_bs(20000)_lr(0.001)_hs(49)_e(30)","finished","-","","","2025-05-22T21:58:02.000Z","1","","20000","30","49","0.001","0.999414827894912","0.9928298777949364","0.9903871628024244","165.2","44.8","0.006549419917994076","0.9969281398080352","0.9887653975778264","0.9997600321153268","0.999869829584314","344119.4","14539.4"
"AVG_bs(10000)_lr(0.001)_hs(25)_e(30)","finished","-","","","2025-05-21T15:52:58.000Z","1","","10000","30","25","0.001","0.9998127449350684","0.9977168211282532","0.9981970504751064","21.8","45.4","0.004327023105644103","0.9969175196777053","0.9985174740517074","0.999778762715556","0.9998680862310902","344118.8","14682.8"
"AVG_bs(15000)_lr(0.001)_hs(25)_e(30)","finished","-","","","2025-05-22T05:53:38.000Z","2","","15000","30","25","0.001","0.9994382347679344","0.9931188131473684","0.9908623950551856","156.4","45.2","0.006037965636157121","0.9969026191548996","0.9893638492085368","0.9997578174713052","0.9998686673426403","344119","14548.2"
"AVG_bs(2000)_lr(0.0001)_hs(98)_e(20)","finished","-","","","2025-05-21T07:39:48.000Z","2","","2000","20","98","0.0001","0.9998071718676966","0.997648792574861","0.9981045651153346","23.4","45.8","0.004200057898867978","0.99689018600767","0.9984086675233158","0.9998218840755806","0.9998669239961708","344118.4","14681.2"
"AVG_bs(10000)_lr(0.001)_hs(49)_e(20)","finished","-","","","2025-05-21T16:47:22.000Z","2","","10000","20","49","0.001","0.9996193594777032","0.9953475412415091","0.9944251967089576","91","45.6","0.004742240387066785","0.9968893282947124","0.9938114326032575","0.999766781503383","0.999867505112786","344118.6","14613.6"
"AVG_bs(15000)_lr(0.001)_hs(49)_e(30)","finished","-","","","2025-05-22T07:26:34.000Z","1","","15000","30","49","0.001","0.9996449956571852","0.9956622219632588","0.9949348233797226","81.6","45.8","0.004779499300639145","0.9968779920187216","0.9944507477303915","0.9997600139000132","0.9998669239911052","344118.4","14623"
"AVG_bs(2000)_lr(0.0001)_hs(49)_e(30)","finished","-","","","2025-05-20T18:03:00.000Z","1","","2000","30","49","0.0001","0.9998071718692496","0.9976488198385304","0.9981127339627586","23.2","46","0.004100048628525756","0.9968766609384871","0.9984222683393648","0.9998293301622456","0.9998663428778668","344118.2","14681.4"
"AVG_bs(2000)_lr(0.0001)_hs(25)_e(30)","finished","-","","","2025-05-20T16:46:21.000Z","2","","2000","30","25","0.0001","0.9997859942064042","0.9973899516778042","0.9977073063587028","30.6","46.2","0.004206655176175344","0.9968616186926388","0.9979190242709448","0.9998169744536916","0.9998657617595624","344118","14674"
"AVG_bs(2000)_lr(0.0001)_hs(49)_e(20)","finished","-","","","2025-05-20T17:25:35.000Z","1","","2000","20","49","0.0001","0.9995435657726292","0.994417081524297","0.9930159373865616","116.4","47.4","0.004525851030808149","0.9967613465888746","0.9920840864162406","0.9997859221207938","0.9998622750480496","344116.8","14588.2"
"AVG_bs(2000)_lr(0.0001)_hs(25)_e(20)","finished","-","","","2025-05-20T16:08:20.000Z","1","","2000","20","25","0.0001","0.9993897491072689","0.9925220336958852","0.990027208872314","171","48","0.0056366370227705275","0.996708223576666","0.9883709702125107","0.9996965932860392","0.9998605316998914","344116.2","14533.6"
"AVG_bs(2000)_lr(0.01)_hs(25)_e(20)","finished","-","","","2025-05-20T08:02:37.000Z","2","","2000","20","25","0.01","0.9997336073650348","0.9967494314538136","0.9968145541677652","46.2","49.4","0.003743500337554401","0.9966415768344176","0.9968581402697","0.999710711085528","0.9998564638498124","344114.8","14658.4"
"AVG_bs(2000)_lr(0.01)_hs(98)_e(30)","finished","-","","","2025-05-20T11:44:46.000Z","2","","2000","30","98","0.01","0.999730263574617","0.9967089426634864","0.9968146700541158","45.8","51","0.003663040900816365","0.996533503894093","0.9968853483766154","0.999708212777792","0.9998518148966262","344113.2","14658.8"
"AVG_bs(20000)_lr(0.0001)_hs(98)_e(30)","finished","-","","","2025-05-23T04:33:25.000Z","2","","20000","30","98","0.0001","0.98560866808971","0.7875468563958588","0.6995442329608081","5131.2","33.4","0.07269732571310467","0.9965241431451446","0.6510480361139405","0.965062286885836","0.9999029533023184","344130.8","9573.4"
"AVG_bs(10000)_lr(0.001)_hs(25)_e(10)","finished","-","","","2025-05-21T14:23:54.000Z","1","","10000","10","25","0.001","0.9936528336197508","0.916158255230808","0.8740181713350837","2234.2","43.6","0.020974826000423892","0.9965052911110804","0.8480608958409105","0.9952690309970376","0.9998733162856958","344120.6","12470.4"
"AVG_bs(10000)_lr(0.0001)_hs(49)_e(20)","finished","-","","","2025-05-21T21:29:54.000Z","2","","10000","20","49","0.0001","0.9853322441254212","0.7825449018535469","0.6933029186798076","5230","33.8","0.07287680316302511","0.9964537601539052","0.6443289758430119","0.965810750309317","0.9999017910623332","344130.4","9474.6"
"AVG_bs(15000)_lr(0.0001)_hs(49)_e(30)","finished","-","","","2025-05-22T12:11:13.000Z","1","","15000","30","49","0.0001","0.9857502239391436","0.7901083695028837","0.702803272959822","5079.2","34.6","0.06850731264178953","0.996416731593878","0.6545842445867752","0.974011365869856","0.9998994665823632","344129.6","9625.4"
"AVG_bs(2000)_lr(0.0001)_hs(49)_e(10)","finished","-","","","2025-05-20T16:59:40.000Z","1","","2000","10","49","0.0001","0.9942508225660028","0.924574840770216","0.8865021808542727","2016.2","47","0.01984327802951965","0.9962988888918046","0.8628858833815121","0.9952843353893231","0.9998634372762152","344117.2","12688.4"
"AVG_bs(20000)_lr(0.001)_hs(25)_e(20)","finished","-","","","2025-05-22T19:30:46.000Z","1","","20000","20","25","0.001","0.9925103551315664","0.898914514251436","0.8498698963702298","2643","44.8","0.022147492070992782","0.9962888273547224","0.820260936058775","0.9952198406048414","0.9998698295758714","344119.4","12061.6"
"AVG_bs(10000)_lr(0.0001)_hs(25)_e(20)","finished","-","","","2025-05-21T19:57:13.000Z","1","","10000","20","25","0.0001","0.9682034252778208","0.3579100520841924","0.2637585483534659","11398.6","12.2","0.10281988883184064","0.9960436418819348","0.22483013317034056","0.92287107694446","0.999964551807091","344152","3306"
