"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","fold","hidden_size","learning_rate","accuracy","f1_macro","f1_weighted","loss","precision_macro","precision_weighted","recall_macro","recall_weighted","roc_auc_ovo","roc_auc_ovr"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(30)_fold(4)","finished","-","","","2025-06-03T23:25:32.000Z","108","","32","30","4","98","0.0001","0.5309439608269858","0.39706308392912865","0.5501808873486324","1.25743349586492","0.37042091931166554","0.649368777548961","0.5713454356101797","0.5309439608269858","0.8906095515210715","0.8670674279483763"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(30)_fold(3)","finished","-","","","2025-06-03T23:23:42.000Z","109","","32","30","3","98","0.0001","0.5134988099285958","0.37462304986165207","0.5336423431462545","1.2815641259369643","0.34964817126092307","0.6491740600403106","0.5723236702604361","0.5134988099285958","0.8874954976531556","0.8575653874681577"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(30)_fold(2)","finished","-","","","2025-06-03T23:21:51.000Z","110","","32","30","2","98","0.0001","0.5032981978918735","0.3685942377282646","0.5297145101190485","1.297839449475641","0.3448535829311463","0.649064218855165","0.5584079615329617","0.5032981978918735","0.8827412934040827","0.8518700428956946"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(30)_fold(1)","finished","-","","","2025-06-03T23:19:58.000Z","112","","32","30","1","98","0.0001","0.5400204012240735","0.3902476385684903","0.5596140812797558","1.2799473941974018","0.3614358737319992","0.6530010863219822","0.563011819532399","0.5400204012240735","0.8832402993741639","0.857727878511335"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(80)_fold(5)","finished","-","","","2025-06-03T23:15:14.000Z","279","","32","80","5","49","0.0001","0.5376088139281828","0.4193265245759151","0.5607646069730299","1.2931714639715526","0.3876814621075438","0.6655201850526975","0.5633760575373159","0.5376088139281828","0.879861802352518","0.8615614511797077"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(80)_fold(4)","finished","-","","","2025-06-03T23:10:38.000Z","274","","32","80","4","49","0.0001","0.5331882480957563","0.4130667781759927","0.5598542061706387","1.2647419279360252","0.3874726892904708","0.6600347207739564","0.5793983508314582","0.5331882480957563","0.891368061441088","0.8638321316990594"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(80)_fold(3)","finished","-","","","2025-06-03T23:06:12.000Z","264","","32","80","3","49","0.0001","0.5789867392043523","0.41416497798428975","0.5941706875875414","1.289197802414065","0.4066009202032499","0.6856375768237569","0.574043730604924","0.5789867392043523","0.8887417386828554","0.8593788802485298"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(80)_fold(2)","finished","-","","","2025-06-03T23:01:44.000Z","267","","32","80","2","49","0.0001","0.5446446786807209","0.39711222820175585","0.5674061469473073","1.273156315671361","0.3713074099458448","0.6682963629687976","0.5751789614433382","0.5446446786807209","0.8873501860115894","0.8601497398810819"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(80)_fold(1)","finished","-","","","2025-06-03T22:57:06.000Z","277","","32","80","1","49","0.0001","0.5022781366882013","0.39536745674653345","0.5323674612338624","1.27357837797507","0.3658361835908167","0.6536837713059185","0.5608706950501232","0.5022781366882013","0.8828506055875872","0.8643827967655482"
"TFG_MUL_bs(32)_lr(0.0001)_hs(49)_e(50)_fold(5)","finished","-","","","2025-06-03T22:54:01.000Z","179","","32","50","5","49","0.0001","0.5313520130576714","0.3873826705701614","0.5539346334250889","1.3229145610462063","0.3612692950249438","0.6555767715684914","0.5488933274202079","0.5313520130576714","0.872549287454626","0.8474786132133131"
